Tiempo,x_ee,y_ee
4.11,0.261978689694467,0.137602444130282
4.12,0.261901502291789,0.135961930310862
4.13,0.261818668402333,0.134320987140146
4.14,0.261731441114065,0.132679825851713
4.15,0.261641073514952,0.131038657679141
4.16,0.261548818692961,0.129397693856009
4.17,0.261455929736059,0.127757145615896
4.18,0.261363659732211,0.126117224192381
4.19,0.261273261769385,0.124478140819041
4.2,0.261185988935547,0.122840106729456
4.21,0.261102941042036,0.121203282101249
4.22,0.261024604793679,0.119567622888218
4.23,0.260951313618675,0.117933033988206
4.24,0.260883400945224,0.116299420299058
4.25,0.260821200201524,0.114666686718615
4.26,0.260765044815776,0.113034738144722
4.27,0.260715268216177,0.111403479475222
4.28,0.260672203830929,0.109772815607957
4.29,0.260636185088229,0.108142651440771
4.3,0.260607545416276,0.106512891871508
4.31,0.26058652997124,0.104883467310554
4.32,0.26057303082116,0.103254410218473
4.33,0.260566851762047,0.101625778568373
4.34,0.260567796589911,0.0999976303333631
4.35,0.26057566910076,0.09837002348655
4.36,0.260590273090606,0.0967430160010422
4.37,0.260611412355457,0.0951166658499475
4.38,0.260638890691324,0.0934910310063739
4.39,0.260672511894216,0.0918661694434293
4.4,0.260712079760143,0.0902421391342216
4.41,0.260757351729275,0.0886190190685861
4.42,0.260807899818422,0.0869969723032662
4.43,0.260863249688554,0.0853761829117325
4.44,0.260922927000643,0.0837568349674555
4.45,0.260986457415657,0.082139112543906
4.46,0.261053366594567,0.0805231997145547
4.47,0.261123180198345,0.078909280552872
4.48,0.261195423887959,0.0772975391323284
4.49,0.261269623324381,0.075688159526395
4.5,0.26134530416858,0.0740813258085421
4.51,0.261421909447175,0.0724772532025826
4.52,0.261498551649372,0.0708762815336981
4.53,0.261574260630025,0.069278781777413
4.54,0.261648066243988,0.0676851249092512
4.55,0.261718998346116,0.0660956819047368
4.56,0.261786086791261,0.0645108237393935
4.57,0.261848361434278,0.0629309213887458
4.58,0.261904852130021,0.0613563458283175
4.59,0.261954588733344,0.0597874680336327
4.6,0.261996601099101,0.0582246589802153
4.61,0.26202977978909,0.0566683245552521
4.62,0.262052458192884,0.0551190102925798
4.63,0.262062830407001,0.0535772966376977
4.64,0.26205909052796,0.0520437640361051
4.65,0.262039432652276,0.0505189929333013
4.66,0.262002050876469,0.0490035637747857
4.67,0.261945139297055,0.0474980570060577
4.68,0.261866892010553,0.0460030530726165
4.69,0.261765503113479,0.0445191324199613
4.7,0.261639166702352,0.0430468754935918
4.71,0.261486051933788,0.0415870240744792
4.72,0.261304228204801,0.0401409652854837
4.73,0.261091739972502,0.0387102475849376
4.74,0.260846631694004,0.0372964194311733
4.75,0.26056694782642,0.0359010292825232
4.76,0.260250732826861,0.0345256255973194
4.77,0.259896031152441,0.0331717568338942
4.78,0.25950088726027,0.0318409714505802
4.79,0.259063345607462,0.0305348179057095
4.8,0.25858145065113,0.0292548446576145
4.81,0.258053515154184,0.0280026941161427
4.82,0.257478925102742,0.026780384497203
4.83,0.256857334788716,0.0255900279682193
